product_id,product_name,total_quantity_sold,sales_category
AI-0853,Metformin 500 mg,140952.0,Fast-Moving
AI-0943,Neurodex FC komb,135160.0,Fast-Moving
AI-0406,Eclid 50 mg,127864.0,Fast-Moving
AI-0190,Candesartan TI 8 mg ,111066.0,Fast-Moving
AI-0958,Nitrokaf Retard Forte 5 mg,107804.0,Fast-Moving
AI-0771,Lansoprazole 30 mg,104275.0,Fast-Moving
AI-0097,Aptor 100 mg,88843.0,Fast-Moving
AI-0860,Methylprednisolone 4 mg,74543.75,Fast-Moving
AI-0106,Asam Mefenamat 500 mg,68437.0,Fast-Moving
AI-0043,Allopurinol 100 mg,61147.0,Fast-Moving
AI-0068,Amlodipin 5 mg,60709.0,Fast-Moving
AI-1168,Renadinac 25 mg,56095.0,Fast-Moving
AI-1028,Osteocal 500 mg,52135.0,Fast-Moving
AI-0067,Amlodipin 10 mg,51334.0,Fast-Moving
AI-0075,Amoxicillin 500 mg,47781.75,Fast-Moving
AI-1057,Paracetamol 500 mg,44826.125,Fast-Moving
AI-1409,Vastigo 6 mg,44380.55,Fast-Moving
AI-0114,Aspilets 80 mg,41659.0,Fast-Moving
R-1203,Kapsul kosong 00,41411.0,Fast-Moving
AI-0577,Glucobay 50 mg,38949.0,Fast-Moving
AI-0578,Glucodex 80 mg,38396.0,Fast-Moving
AI-0241,Cetirizine 10 mg,38137.5,Fast-Moving
AI-0255,Ciprofloxacine 500 mg,37982.0,Fast-Moving
AI-1524,Dilavask 5 mg,37879.0,Fast-Moving
AI-0050,Ambroxol 30 mg,35896.35,Fast-Moving
AI-1284,Spironolacton 25 mg,35063.0,Fast-Moving
AI-0973,Norvask 5 mg,34799.0,Fast-Moving
AI-0836,Meloxicam 15 mg,33857.0,Fast-Moving
R-1202,Kapsul kosong 0,33409.0,Fast-Moving
AI-0156,Bisoprolol 5 mg,32757.0,Fast-Moving
AI-1174,Retaphyl SR 300 mg,32717.5,Fast-Moving
AI-1156,Ranitidine 150 mg,31797.3,Fast-Moving
AI-0565,Glimepiride 2 mg,31590.0,Fast-Moving
AI-1187,Ringer Laktat 500 ml,28900.0,Fast-Moving
AI-0214,Cefadroxil 500 mg,28413.1,Fast-Moving
AI-0188,Canderin 8 mg,28149.0,Fast-Moving
AI-0530,Furosemide 40 mg,28146.0,Fast-Moving
AI-0500,Fitbon 500 mg,27936.0,Fast-Moving
AI-0216,Cefixime 100 mg,27074.5,Fast-Moving
AI-1359,Tramadol 50 mg,26985.2,Fast-Moving
AI-1246,Simvastatin 10 mg,26086.0,Fast-Moving
R-2754,DIOVAN 80 TAB,24994.0,Fast-Moving
AI-0120,Atorvastatin 20 mg,24407.0,Fast-Moving
AI-0052,Amdixal 5 mg,23265.0,Fast-Moving
AI-1290,Starfolat 1 mg,22502.0,Fast-Moving
AI-0957,Nitrokaf Retard 2,22261.0,Fast-Moving
AI-0292,Concor 2,22165.0,Fast-Moving
R-0137,Asam Mefenamat 500mg tab,21477.0,Fast-Moving
