sales_date,product_id,product_name,unit,manufacturer_id,total_quantity_sold,total_revenue,avg_selling_price,avg_purchase_price,gross_margin,total_transactions
2015-01-01,AI-0024,Acyclovir 200 mg,tab,Infa,10.0,2460.0,246.0,186.0,600.0,1
2015-01-01,AI-0025,Acyclovir 400 mg,tab,Hexp,104.0,42215.3,397.726,301.0,10759.3,5
2015-01-01,AI-0049,Ambroxol 15mg/5ml,btl,Infa,1.0,3749.625,3749.625,2727.0,1022.625,1
2015-01-01,AI-0050,Ambroxol 30 mg,tab,Infa,59.0,9163.3,158.39375,117.5,2283.3,8
2015-01-01,AI-0051,Amdixal 10 mg,tab,Sand,11.0,24744.5,2249.5,1636.0,6748.5,2
2015-01-01,AI-0052,Amdixal 5 mg,tab,Sand,6.0,8118.0,1353.0,984.0,2214.0,2
2015-01-01,AI-0067,Amlodipin 10 mg,tab,Hexp,10.0,7920.0,792.0,600.0,1920.0,1
2015-01-01,AI-0068,Amlodipin 5 mg,tab,Hexp,3.0,1410.75,470.25,342.0,384.75,1
2015-01-01,AI-0075,Amoxicillin 500 mg,tab,Rama,34.0,11679.625,345.2083333333333,257.6666666666667,2937.625,3
2015-01-01,AI-0091,Anxibloc 10 mg,tab,Dexa,9.0,9900.0,1100.0,800.0,2700.0,2
2015-01-01,AI-0097,Aptor 100 mg,tab,Nich,3.0,567.0,189.0,143.0,138.0,1
2015-01-01,AI-0106,Asam Mefenamat 500 mg,kaps,Land,58.0,7987.25,137.75,102.33333333333333,2049.25,5
2015-01-01,AI-0110,Asering 500 ml,btl,Otsu,3.0,32400.0,10800.0,8182.0,7854.0,1
2015-01-01,AI-0114,Aspilets 80 mg,tab,Dava,18.0,4718.375,261.9583333333333,190.33333333333334,1290.375,3
2015-01-01,AI-0155,Bisolvon Kids 4mg/5ml,btl,Boeh,1.0,24494.25,24494.25,17814.0,6680.25,1
2015-01-01,AI-0156,Bisoprolol 5 mg,tab,Hexp,3.0,3749.625,1249.875,909.0,1022.625,1
2015-01-01,AI-0162,Braxidin 7,tab,Sanb,18.0,14850.0,825.0,600.0,4050.0,3
2015-01-01,AI-0178,Calcii Gluconas 100 mg/ml,amp,Ethi,1.0,10377.125,10377.125,7547.0,2830.125,1
2015-01-01,AI-0181,Cameloc 15 mg,tab,Dexa,6.0,2879.25,479.875,349.0,785.25,2
2015-01-01,AI-0187,Canderin 16 mg,tab,Dexa,3.0,21747.0,7249.0,5272.0,5931.0,1
2015-01-01,AI-0188,Canderin 8 mg,tab,Dexa,3.0,12375.0,4125.0,3000.0,3375.0,1
2015-01-01,AI-0195,Carbloxal 6,kaplet,Sand,3.0,3939.375,1313.125,955.0,1074.375,1
2015-01-01,AI-0214,Cefadroxil 500 mg,kaps,Hexp,79.0,54599.049999999996,681.61,510.3636363636364,14123.050000000001,11
2015-01-01,AI-0219,Cefixime OGB 100 mg/5ml,btl,Infa,1.0,23821.875,23821.875,17325.0,6496.875,1
2015-01-01,AI-0220,Cefotaxime 1000 mg/vi,vial,Hexp,7.0,34996.5,4999.5,3636.0,9544.5,2
2015-01-01,AI-0221,Ceftazidime 1000 mg/vi,vial,Nove,1.0,27500.0,27500.0,20000.0,7500.0,1
2015-01-01,AI-0222,Ceftriaxone 1000 mg/vi,vial,Bern,17.0,91416.875,5361.984375,3899.625,24931.875,8
2015-01-01,AI-0226,Cendo Lyteers 15 ml,"32 mg,",btl,1.0,20700.0,20700.0,15682.0,5018.0,1
2015-01-01,AI-0241,Cetirizine 10 mg,tab,Hexp,58.0,15166.5,248.025,185.4,3892.5,8
2015-01-01,AI-0255,Ciprofloxacine 500 mg,tab,Hexp,56.0,18080.04,320.4605555555556,241.44444444444446,4556.04,8
2015-01-01,AI-0263,Clindamycin 150 mg,kaps,Infa,11.0,4620.0,420.0,318.0,1122.0,2
2015-01-01,AI-0274,Clopisan 75 mg,tab,Sand,13.0,65000.0,5000.0,3636.0,17732.0,2
2015-01-01,AI-0296,Cordarone 150 mg/3 m,amp,Sano,3.0,78746.25,26248.75,19090.0,21476.25,1
2015-01-01,AI-0338,Deksametason 0,tab,Mari,5.0,148.82999999999998,29.645,22.0,38.83,2
2015-01-01,AI-0339,Deksametason 5 mg/ml,amp,Phap,7.0,13561.625,1937.375,1409.0,3698.625,2
2015-01-01,AI-0353,Dexanta 100 ml syp,btl,Dexa,2.0,12810.875,6405.4375,4658.5,3493.875,2
2015-01-01,AI-0354,Dexanta 350 mg tab,tab,Dexa,10.0,1690.0,169.0,123.0,460.0,1
2015-01-01,AI-0357,Dexocort 0,,tube,2.0,25920.0,12960.0,9818.0,6284.0,1
2015-01-01,AI-0398,Dulcolax 10 mg,supp,Boeh,3.0,39563.625,13187.8125,9591.0,10790.625,2
2015-01-01,AI-0399,Dulcolax 5 mg,tab,Boeh,14.0,13428.5,974.0833333333334,718.0,3376.5,3
2015-01-01,AI-0406,Eclid 50 mg,tab,Dexa,12.0,13596.0,1133.0,824.0,3708.0,2
2015-01-01,AI-0417,Elkana tab,Tab,Sanb,1.0,690.36,690.36,523.0,167.36,1
2015-01-01,AI-0458,Euthyrox 0,tab,Merc,5.0,6000.0,1200.0,909.0,1455.0,1
2015-01-01,AI-0463,Farbivent 2,vial,Prat,5.0,45313.125,9062.625,6591.0,12358.125,3
2015-01-01,AI-0503,Fleet Enema 133 ml,btl,Comb,1.0,56249.875,56249.875,40909.0,15340.875,1
2015-01-01,AI-0513,Flunarizine 5 mg,tab,Bern,4.0,3838.56,959.64,727.0,930.56,2
2015-01-01,AI-0529,Furosemid 10 mg/ml,amp,Infa,3.0,6864.0,2288.0,1664.0,1872.0,1
2015-01-01,AI-0537,Gabexal 300 mg,kaps,Sand,20.0,63600.0,3180.0,2409.0,15420.0,1
2015-01-01,AI-0590,Grahabion komb,tab,Graf,5.0,1379.4,275.88,209.0,334.4,1
2015-01-01,AI-0608,Harnal D 0,tab,Aste,3.0,30380.625,10126.875,7365.0,8285.625,1
2015-01-01,AI-0634,Human Albumin 20%,btl,Kifa,3.0,3212193.5999999996,1070731.2,811160.0,778713.5999999999,1
2015-01-01,AI-0661,Ibuprofen 400 mg,tab,Rama,9.0,2029.5,225.5,164.0,553.5,1
2015-01-01,AI-0671,Induxin 10 IU/ml,amp,Kalb,11.0,32314.0,2979.3333333333335,2166.6666666666665,8814.0,3
2015-01-01,AI-0679,Inodex 250 mg/vial,vial,Dexa,4.0,163442.125,40482.0625,29441.5,44575.125,2
2015-01-01,AI-0717,Kalnex 250 mg,kaps,Kalb,20.0,14520.0,726.0,550.0,3520.0,1
2015-01-01,AI-0718,Kalnex 250 mg/5 ml,amp,Kalb,6.0,25575.0,4262.5,3100.0,6975.0,2
2015-01-01,AI-0719,Kalnex 500 mg,kaps,Kalb,10.0,10312.5,1031.25,750.0,2812.5,1
2015-01-01,AI-0737,Ketoconazole 200 mg { SALAH },tab,Prom,20.0,7180.0,359.0,272.0,1740.0,1
2015-01-01,AI-0740,Ketoprofen 100 mg,tab,Hexp,6.0,5007.75,834.625,607.0,1365.75,1
2015-01-01,AI-0744,Ketorolac 30 mg/ml,amp,Bern,10.0,68127.0,6719.25,4886.75,18580.0,4
2015-01-01,AI-0763,KSR 600 mg,tab,Merc,9.0,21337.5,2399.875,1745.5,5818.5,2
2015-01-01,AI-0771,Lansoprazole 30 mg,kaps,Soho,31.0,21114.5,675.75,499.75,5619.5,12
2015-01-01,AI-0772,Lantus Solostar Pen 100 IU/ml,Pen,Aven,1.0,138650.875,138650.875,100837.0,37813.875,1
2015-01-01,AI-0777,Laxadine 60 ml," PP,",btl,2.0,32372.75,16186.375,11772.0,8828.75,2
2015-01-01,AI-0811,Lovenox 40 mg/0,syringe,Aven,4.0,377320.0,94330.0,68604.0,102904.0,1
2015-01-01,AI-0832,Mecobalamine 500 mcg,kaps,Nove,10.0,8910.0,891.0,648.0,2430.0,1
2015-01-01,AI-0836,Meloxicam 15 mg,tab,Hexp,11.0,4488.0,408.0,309.0,1089.0,2
2015-01-01,AI-0837,Meloxicam 7,tab,Hexp,10.0,5005.0,500.5,364.0,1365.0,1
2015-01-01,AI-0853,Metformin 500 mg,tab,Hexp,3.0,414.0,138.0,100.0,114.0,1
2015-01-01,AI-0858,Methylprednisolone 125 mg/2ml,vial,Dexa,22.0,714989.0,32499.5,23636.0,194997.0,1
2015-01-01,AI-0860,Methylprednisolone 4 mg,tab,Phap,69.0,20438.440000000002,313.2891666666667,234.33333333333334,5154.4400000000005,12
2015-01-01,AI-0875,Metronidazole 500 mg,tab,Rama,20.0,4520.0,226.0,164.0,1240.0,1
2015-01-01,AI-0880,Micardis 80 mg,tab,Boeh,3.0,22873.125,7624.375,5545.0,6238.125,1
2015-01-01,AI-0943,Neurodex FC komb,tab,Dexa,59.0,16991.0,287.5,217.1818181818182,4172.0,11
2015-01-01,AI-0947,New Diatab 600 mg,tab,Dava,4.0,1705.0,426.25,310.0,465.0,1
2015-01-01,AI-0958,Nitrokaf Retard Forte 5 mg,tab,Kifa,6.0,16284.0,2714.0,1974.0,4440.0,1
2015-01-01,AI-0965,Noperten 5 mg,tab,Dexa,7.0,4207.0,601.0,455.0,1022.0,1
2015-01-01,AI-0973,Norvask 5 mg,tab,Pfiz,1.0,3299.0,3299.0,2499.0,800.0,1
2015-01-01,AI-0978,Novalgin 500 mg/ml,amp,Aven,3.0,23050.5,7683.5,5588.0,6286.5,1
2015-01-01,AI-1009,Omeprazole 20 mg,kaps,Hexp,5.0,1740.0,348.0,264.0,420.0,1
2015-01-01,AI-1017,Ondansetron 4 mg,tab,Infa,12.0,13851.44,1244.8600000000001,943.0,3359.44,2
